Cohort,Hatched,Animal_ID,Group,Weight,Age_Days,Age_Months,Age,Isolated,Dissected,Dissection_Time,Dissection_Period,Isolation_Time,TTR1,TTR2,TTR3,TWRT1,TWRT2,TWRT3,TWRLI1,TWRLI2,TWRLI3,TWRLF1,TWRLF2,TWRLF3,TWRDL1,TWRDL2,TWRDL3
77,10/17/2015,1,Green,226,173,5.8,6,4/7/2016,4/12/2016,11:00:00 AM,AM,5,11.69,11.16,12.38,58.4,12.93,27.64,14,15,16,11,11,12,3,4,4
77,10/17/2015,2,Red,198.5,173,5.8,6,4/7/2016,4/12/2016,12:30:00 PM,PM,5,9.15,7.89,10.19,11.31,34.75,14.31,14,13,14,11,9,10,3,4,4
77,10/17/2015,3,Green,258,173,5.8,6,4/7/2016,4/12/2016,3:00:00 PM,PM,5,9.26,11.15,19.91,44.72,35.63,30.65,17,16,15,13,12,10,4,4,5
77,10/17/2015,4,Red,246.5,173,5.8,6,4/7/2016,4/14/2016,11:00:00 AM,AM,7,13.15,8.94,12.19,24.84,16.21,31.59,18,21,13,13,15,12,5,6,1
77,10/17/2015,5,Green,100.5,173,5.8,6,4/7/2016,4/14/2016,1:00:00 PM,PM,7,7.02,10.52,10.08,26.08,33.38,77.5,13,13,10,9,9.5,8,4,3.5,2
77,10/17/2015,6,Green,207.5,173,5.8,6,4/7/2016,4/14/2016,3:00:00 PM,PM,7,8.95,9.28,10.03,51,14.51,24.53,15,15,13,11,11.5,10,4,3.5,3
77,10/17/2015,7,Green,178.2,173,5.8,6,4/7/2016,4/16/2016,10:30:00 AM,AM,9,16.09,8.82,17.95,41.84,15.7,21.4,12,13,11,9,10,9,3,3,2
77,10/17/2015,8,Green,257,173,5.8,6,4/7/2016,4/16/2016,1:00:00 PM,PM,9,7.47,8.71,16.46,42.78,40.82,29.47,16,11,14,12,9.5,13,4,1.5,1
77,10/17/2015,9,Blue,257,173,5.8,6,4/7/2016,4/16/2016,3:00:00 PM,PM,9,17.38,12.15,15.65,62.97,35.4,50.56,18,16,17,11,11,11,7,5,6
77,10/17/2015,10,Red,208.5,173,5.8,6,4/7/2016,4/21/2016,11:00:00 AM,AM,14,6.26,8.4,9.4,26.62,42.84,17.83,19,16,14,13,12,11,6,4,3
77,10/17/2015,11,Blue,225,180,6.0,6,4/14/2016,4/21/2016,1:00:00 PM,PM,7,9.06,11.28,10.09,62.45,11.65,27.89,16,21,16,13,14,10,3,7,6
77,10/17/2015,12,Red,253,180,6.0,6,4/14/2016,4/21/2016,3:00:00 PM,PM,7,10.46,7.02,9.57,17.69,15.83,17.91,15,16,18,11,11,13,4,5,5
