Trough,Cage,date,weight,group,Age_Days,Age_Months,Isolated,Dissected
,,2/18/2016,38,Green,124,4,0,0
,,2/18/2016,17.5,Green,124,4,0,0
,,2/18/2016,34.5,Green,124,4,0,0
,,2/18/2016,17.5,Green,124,4,0,0
,,2/18/2016,36.5,Green,124,4,0,0
,,2/18/2016,34,Green,124,4,0,0
,,2/18/2016,33,Green,124,4,0,0
,,2/18/2016,25,Green,124,4,0,0
,,2/18/2016,31,Green,124,4,0,0
,,2/18/2016,16,Green,124,4,0,0
,,2/18/2016,52,Green,124,4,0,0
,,2/18/2016,29,Green,124,4,0,0
,,2/18/2016,36,Green,124,4,0,0
,,2/18/2016,27.5,Green,124,4,0,0
,,2/18/2016,34,Green,124,4,0,0
,,2/18/2016,31,Green,124,4,0,0
,,2/18/2016,28,Green,124,4,0,0
,,2/18/2016,30.5,Green,124,4,0,0
,,2/18/2016,30,Green,124,4,0,0
,,2/18/2016,43,Green,124,4,0,0
,,2/18/2016,18.5,Green,124,4,0,0
,,2/18/2016,27.5,Green,124,4,0,0
,,2/18/2016,20,Green,124,4,0,0
,,2/18/2016,23.5,Green,124,4,0,0
,,2/18/2016,42,Green,124,4,0,0
,,2/18/2016,26.5,Green,124,4,0,0
,,2/18/2016,27.5,Green,124,4,0,0
,,2/18/2016,23.5,Green,124,4,0,0
,,2/18/2016,24.5,Green,124,4,0,0
,,2/18/2016,16,Green,124,4,0,0
,,2/18/2016,23,Green,124,4,0,0
,,2/18/2016,27,Green,124,4,0,0
,,2/18/2016,17,Green,124,4,0,0
,,2/18/2016,20.5,Green,124,4,0,0
,,2/18/2016,22,Green,124,4,0,0
,,2/18/2016,23.5,Green,124,4,0,0
,,2/18/2016,21.5,Blue,124,4,0,0
,,2/18/2016,11,Blue,124,4,0,0
,,2/18/2016,17,Blue,124,4,0,0
,,2/18/2016,10.5,Blue,124,4,0,0
,,2/18/2016,17,Blue,124,4,0,0
,,2/18/2016,14,Blue,124,4,0,0
,,2/18/2016,14,Blue,124,4,0,0
,,2/18/2016,14.5,Blue,124,4,0,0
,,2/18/2016,12,Blue,124,4,0,0
,,2/18/2016,14,Blue,124,4,0,0
,,2/18/2016,17,Blue,124,4,0,0
,,2/18/2016,17,Blue,124,4,0,0
,,2/18/2016,4.5,Red,124,4,0,0
,,2/18/2016,4,Red,124,4,0,0
,,2/18/2016,5,Red,124,4,0,0
,,2/18/2016,5,Red,124,4,0,0
,,2/18/2016,5,Red,124,4,0,0
,,2/18/2016,6,Red,124,4,0,0
,,2/18/2016,4,Red,124,4,0,0
,,2/18/2016,4.5,Red,124,4,0,0
,,2/18/2016,3,Red,124,4,0,0
,,2/18/2016,3,Red,124,4,0,0
,,2/18/2016,3,Red,124,4,0,0
,,2/18/2016,3,Red,124,4,0,0
,,2/18/2016,8.3,Red,124,4,0,0
,,2/18/2016,3,Red,124,4,0,0
,,2/18/2016,4.5,Red,124,4,0,0
,,2/18/2016,3.5,Red,124,4,0,0
,,2/18/2016,4,Red,124,4,0,0
,,2/18/2016,6.5,Red,124,4,0,0
,,2/18/2016,4.5,Red,124,4,0,0
,,2/18/2016,6.5,Red,124,4,0,0
,,2/18/2016,5,Red,124,4,0,0
,,2/18/2016,4.5,Red,124,4,0,0
,,2/18/2016,5.5,Red,124,4,0,0
,,2/18/2016,5.5,Red,124,4,0,0
,,2/18/2016,13,Red,124,4,0,0
,,2/18/2016,7,Red,124,4,0,0
,,2/18/2016,5,Red,124,4,0,0
,,2/18/2016,4,Red,124,4,0,0
,,2/18/2016,3.5,Red,124,4,0,0
