date,Sample,Animal_ID,Tissue,NanoDrop_260_230,NanoDrop_260_280,NanoDrop_ng_per_uL,Bioanalyzer_ng_per_uL,Qubit_ng_per_uL
3/13/2017,1,1,PVC,0.77,2.11,14.3,3,
3/13/2017,2,2,PVC,3.11,1.97,31.2,23,
3/13/2017,3,3,PVC,1.45,1.96,48.8,33,
3/13/2017,4,1,BSC,-1.1,2.73,9.7,6,
3/13/2017,5,2,BSC,0.55,1.54,81.7,10,
3/13/2017,6,3,BSC,1.21,2.23,20.9,12,
3/13/2017,7,13,PVC,0.87,1.6,33,4,
3/13/2017,8,14,PVC,0.47,1.55,52.2,7,
3/13/2017,9,15,PVC,0.98,1.87,111.1,63,
3/13/2017,10,13,BSC,0.34,1.96,47,20,
3/13/2017,11,14,BSC,1.92,1.94,46,3,
3/13/2017,12,15,BSC,0.77,1.89,69.6,36,
3/13/2017,13,25,PVC,0.84,1.85,62,57,
3/13/2017,14,26,PVC,1.46,2.22,21.9,32,
3/13/2017,15,27,PVC,0.74,1.78,74.9,38,
3/13/2017,16,25,BSC,1.41,2.07,89.5,153,
3/13/2017,17,26,BSC,0.07,2.25,12.8,15,
3/13/2017,18,27,BSC,0.74,1.71,129.4,48,
3/13/2017,19,37,PVC,0.57,1.81,31.4,29,
3/13/2017,20,38,PVC,1.04,1.7,61.2,40,
3/13/2017,21,39,PVC,0.37,2.02,73,81,
3/13/2017,22,37,BSC,1.14,2.05,34.7,55,
3/13/2017,23,38,BSC,3.62,2.33,15.2,21,
3/13/2017,24,39,BSC,1.47,2.14,45.8,42,
3/13/2017,25,49,PVC,0.53,1.88,117.9,127,
3/13/2017,26,50,PVC,3.56,2.18,66.8,244,
3/13/2017,27,51,PVC,0.69,1.58,50.4,30,
3/13/2017,28,52,PVC,0.92,1.62,100.2,53,
3/13/2017,29,49,BSC,5.51,2.27,58.4,76,
3/13/2017,30,50,BSC,0.73,2.2,67.2,175,
3/13/2017,31,51,BSC,1.13,1.89,45.7,4,
3/13/2017,32,52,BSC,1.57,1.9,58.9,88,
3/13/2017,33,63,PVC,2.91,1.98,26.9,29,
3/13/2017,34,64,PVC,1.24,1.89,91.1,123,
3/13/2017,35,65,PVC,3.31,2.24,19.4,27,
3/13/2017,36,66,PVC,2.87,2.09,60.5,111,
3/13/2017,37,63,BSC,1.01,1.9,58.7,31,
3/13/2017,38,64,BSC,0.74,1.94,100.8,110,
3/13/2017,39,65,BSC,0.44,2.56,24.8,49,
3/13/2017,40,66,BSC,2.12,2.25,39.6,41,
3/13/2017,41,81,PVC,0.83,1.6,94.1,26,
3/13/2017,42,82,PVC,1.56,2.16,70.8,64,
3/13/2017,43,83,PVC,0.02,5.14,10.8,3,
3/13/2017,44,84,PVC,1.18,1.83,69.3,25,
3/13/2017,45,81,BSC,1.61,1.94,24.9,28,
3/13/2017,46,82,BSC,-1.1,4.7,3.7,26,
3/13/2017,47,83,BSC,-1.95,2.55,14.6,9,
3/13/2017,48,84,BSC,0.82,1.84,66.7,95,
3/13/2017,49,4,PVC,2.8,2.14,12.9,17,
3/13/2017,50,5,PVC,0.7,1.55,47.7,5,
3/13/2017,51,6,PVC,1.47,1.88,53.6,37,
3/13/2017,52,4,BSC,0.93,1.74,47.9,31,
3/13/2017,53,5,BSC,0.79,1.64,44.5,14,
3/13/2017,54,6,BSC,2.66,2.09,44.5,47,
3/13/2017,55,16,PVC,0.44,1.92,47.6,28,
3/13/2017,56,17,PVC,3.19,1.95,17,20,
3/13/2017,57,18,PVC,1.75,1.95,100.1,99,
3/13/2017,58,16,BSC,0.16,2.21,51.1,35,
3/13/2017,59,17,BSC,-15.69,2.37,21.3,38,
3/13/2017,60,18,BSC,1.43,1.96,71.2,71,
