Index_Plate_Well,Sample,Plate
A01,2,TruSeq_HT_RAP
B01,3,TruSeq_HT_RAP
C01,6,TruSeq_HT_RAP
D01,9,TruSeq_HT_RAP
E01,10,TruSeq_HT_RAP
F01,12,TruSeq_HT_RAP
G01,13,TruSeq_HT_RAP
H01,14,TruSeq_HT_RAP
A02,15,TruSeq_HT_RAP
B02,16,TruSeq_HT_RAP
C02,18,TruSeq_HT_RAP
D02,19,TruSeq_HT_RAP
E02,20,TruSeq_HT_RAP
F02,21,TruSeq_HT_RAP
G02,22,TruSeq_HT_RAP
H02,23,TruSeq_HT_RAP
A03,24,TruSeq_HT_RAP
B03,25,TruSeq_HT_RAP
C03,26,TruSeq_HT_RAP
D03,27,TruSeq_HT_RAP
E03,28,TruSeq_HT_RAP
F03,29,TruSeq_HT_RAP
G03,30,TruSeq_HT_RAP
H03,32,TruSeq_HT_RAP
A04,33,TruSeq_HT_RAP
B04,34,TruSeq_HT_RAP
C04,35,TruSeq_HT_RAP
D04,36,TruSeq_HT_RAP
E04,37,TruSeq_HT_RAP
F04,38,TruSeq_HT_RAP
G04,39,TruSeq_HT_RAP
H04,40,TruSeq_HT_RAP
A05,41,TruSeq_HT_RAP
B05,42,TruSeq_HT_RAP
C05,44,TruSeq_HT_RAP
D05,45,TruSeq_HT_RAP
E05,48,TruSeq_HT_RAP
F05,51,TruSeq_HT_RAP
G05,52,TruSeq_HT_RAP
H05,53,TruSeq_HT_RAP
A06,54,TruSeq_HT_RAP
B06,55,TruSeq_HT_RAP
C06,56,TruSeq_HT_RAP
D06,57,TruSeq_HT_RAP
E06,58,TruSeq_HT_RAP
F06,59,TruSeq_HT_RAP
G06,60,TruSeq_HT_RAP
H06,61,TruSeq_HT_RAP
A07,62,TruSeq_HT_RAP
B07,63,TruSeq_HT_RAP
C07,64,TruSeq_HT_RAP
D07,65,TruSeq_HT_RAP
E07,66,TruSeq_HT_RAP
F07,67,TruSeq_HT_RAP
G07,68,TruSeq_HT_RAP
H07,69,TruSeq_HT_RAP
A08,71,TruSeq_HT_RAP
B08,72,TruSeq_HT_RAP
C08,74,TruSeq_HT_RAP
D08,75,TruSeq_HT_RAP
E08,76,TruSeq_HT_RAP
F08,77,TruSeq_HT_RAP
G08,80,TruSeq_HT_RAP
H08,82,TruSeq_HT_RAP
A09,83,TruSeq_HT_RAP
B09,84,TruSeq_HT_RAP
C09,85,TruSeq_HT_RAP
D09,86,TruSeq_HT_RAP
E09,87,TruSeq_HT_RAP
F09,88,TruSeq_HT_RAP
G09,91,TruSeq_HT_RAP
H09,94,TruSeq_HT_RAP
A10,93,TruSeq_HT_RAP
B10,95,TruSeq_HT_RAP
C10,96,TruSeq_HT_RAP
D10,98,TruSeq_HT_RAP
A11,99,TruSeq_HT_RAP
B11,100,TruSeq_HT_RAP
C11,101,TruSeq_HT_RAP
D11,103,TruSeq_HT_RAP
A12,104,TruSeq_HT_RAP
B12,106,TruSeq_HT_RAP
C12,107,TruSeq_HT_RAP
D12,108,TruSeq_HT_RAP
A01,109,IDT_UDI24_a
B01,110,IDT_UDI24_a
C01,112,IDT_UDI24_a
D01,113,IDT_UDI24_a
E01,114,IDT_UDI24_a
F01,115,IDT_UDI24_a
G01,116,IDT_UDI24_a
H01,117,IDT_UDI24_a
A02,119,IDT_UDI24_a
B02,120,IDT_UDI24_a
C02,121,IDT_UDI24_a
D02,122,IDT_UDI24_a
E02,123,IDT_UDI24_a
F02,124,IDT_UDI24_a
G02,125,IDT_UDI24_a
H02,128,IDT_UDI24_a
A03,129,IDT_UDI24_a
B03,130,IDT_UDI24_a
C03,131,IDT_UDI24_a
D03,132,IDT_UDI24_a
E03,133,IDT_UDI24_a
F03,134,IDT_UDI24_a
G03,138,IDT_UDI24_a
H03,139,IDT_UDI24_a
E11,140,TruSeq_HT_RAP
F11,141,TruSeq_HT_RAP
G11,144,TruSeq_HT_RAP
H11,146,TruSeq_HT_RAP
E12,149,TruSeq_HT_RAP
F12,150,TruSeq_HT_RAP
G12,49,TruSeq_HT_RAP
H12,50,TruSeq_HT_RAP
