Sample,RNA_round,Library_round,input_RNA
9,1,1,150
10,1,1,150
13,1,1,150
15,1,1,150
21,1,1,150
22,1,1,150
24,1,1,150
33,1,1,150
35,1,1,150
55,1,1,150
71,1,1,150
72,1,1,150
62,1,1,150
64,1,1,150
84,1,1,150
94,1,1,150
93,1,1,150
95,1,1,150
96,1,1,150
98,1,1,150
100,1,1,150
101,1,1,150
103,1,1,150
104,1,1,150
106,1,1,150
108,1,1,150
18,2,2,250
26,2,2,250
28,2,2,250
29,2,2,250
36,2,2,250
38,2,2,250
39,2,2,250
48,2,2,250
57,2,2,250
59,2,2,250
60,2,2,250
63,2,2,250
65,2,2,250
67,2,2,250
69,2,2,250
75,2,2,250
76,2,2,250
80,2,2,250
86,2,2,250
87,2,2,250
109,3,3,250
110,3,3,250
112,3,3,250
113,3,3,250
114,3,3,250
115,3,3,250
116,3,3,250
117,3,3,250
119,3,3,250
120,3,3,250
121,3,3,250
122,3,3,250
123,3,3,250
124,3,3,250
125,3,3,250
128,3,3,250
129,3,3,250
130,3,3,250
131,3,3,250
132,3,3,250
133,3,3,250
134,3,3,250
138,3,3,250
139,3,3,250
140,3,3,250
141,3,3,250
144,3,3,250
146,3,3,250
150,3,3,250
149,3,3,250
49,1,3,250
50,1,3,250
