rna0;XM_005088767.1
rna1;XM_013085418.1
rna2;XM_005088768.2
rna3;XM_005088769.2
rna4;XM_005088772.2
rna5;XM_005088771.2
rna7;XM_005088773.2
rna8;XM_005088905.2
rna10;XM_005088776.2
rna11;XM_005088778.2
rna12;XM_005088780.2
rna13;XM_005088779.2
rna14;XM_005088782.2
rna15;XM_013088327.1
rna16;XM_013088000.1
rna17;XM_013088810.1
rna18;XM_005088784.1
rna19;XM_005088785.1
rna20;XM_013090293.1
rna21;XM_005088786.2
rna22;XM_005088787.2
rna23;XM_005088788.2
rna24;XM_005088789.2
rna25;XM_013091408.1
rna26;XM_013091473.1
rna27;XM_013091442.1
rna28;XM_013091509.1
rna29;XM_005088791.2
rna30;XM_013079153.1
rna31;XM_013079206.1
rna32;XM_013079185.1
rna33;XM_005088793.1
rna34;XM_005088792.1
rna35;XM_005088794.2
rna36;XM_005088795.2
rna37;XM_005088907.1
rna38;XM_005088908.1
rna39;XM_013085605.1
rna40;XM_005088796.2
rna41;XM_005088797.2
rna42;XM_005088798.2
rna43;XM_005088802.2
rna44;XM_013079518.1
rna45;XM_005088805.2
rna46;XM_005088804.2
rna47;XM_005088807.2
rna48;XM_005088910.2
rna49;XM_005088810.2
rna50;XM_005088809.2
rna51;XM_005088808.2
rna52;XM_005088811.2
rna53;XM_013085701.1
rna54;XM_005088812.2
rna55;XM_005088912.2
rna56;XM_013079980.1
rna57;XM_013080036.1
rna58;XM_013086846.1
rna59;XM_005088813.2
rna60;XM_013085752.1
rna61;XM_013080070.1
rna62;XM_005088814.1
rna63;XM_013080181.1
rna64;NM_001204647.1
rna65;XM_005088815.2
rna66;XM_013080322.1
rna67;XM_013080274.1
rna68;XM_013080370.1
rna69;XM_005088817.2
rna70;XM_005088822.2
rna71;XM_005088819.2
rna72;XM_005088820.2
rna73;XM_005088821.2
rna74;XM_013080594.1
rna75;XM_005088824.2
rna76;XM_005088826.2
rna77;XM_005088827.2
rna78;XM_005088825.2
rna79;XM_005088828.2
rna80;XM_013085797.1
rna81;XM_013085898.1
rna82;XM_005088829.2
rna83;XM_005088830.2
rna84;XM_005088832.2
rna85;XM_005088923.2
rna86;XM_005088924.2
rna87;XM_013086000.1
rna88;XM_005088927.1
rna89;XM_013081088.1
rna90;XM_005088833.2
rna91;XM_013081212.1
rna92;XM_005088834.2
rna93;XM_013081288.1
rna94;XM_005088835.2
rna95;XM_005088837.2
rna96;XM_005088836.2
rna97;XM_013081419.1
rna98;XM_005088838.2
rna99;XM_013081818.1
rna100;XM_013081703.1
rna101;XM_013081665.1
rna102;XM_013081624.1
rna103;XM_013081542.1
rna104;XM_013081585.1
rna105;XM_013081732.1
rna106;XM_013081510.1
rna108;XM_005088839.2
rna109;XM_005088840.2
