Ac_gi	Ac_ref_Tx	UniProt_db	Entry	Entry_name	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
524863969	XM_005088767.1	sp	P12074	CX6A1_HUMAN	46.38	69	34	2	366	572	44	109	4e-14	67.8
871204238	XM_005088768.2	sp	O00400	ACATN_HUMAN	58.24	467	187	4	466	1857	85	546	4e-168	502
871204241	XM_005088769.2	sp	O00400	ACATN_HUMAN	58.24	467	187	4	416	1807	85	546	7e-170	503
871204249	XM_005088773.2	tr	A0A3B3IRI5	A0A3B3IRI5_HUMAN	50.00	58	29	0	354	527	2	59	2e-11	62.4
871204704	XM_005088905.2	sp	Q6UVY6	MOXD1_HUMAN	42.77	166	95	0	34	531	317	482	3e-40	150
871204250	XM_005088776.2	sp	O95336	6PGL_HUMAN	46.46	254	127	3	861	1595	1	254	6e-64	217
871204256	XM_005088778.2	sp	O95295	SNAPN_HUMAN	50.00	126	58	1	1429	1791	9	134	2e-31	124
871204260	XM_005088780.2	sp	Q9NQX5	NPDC1_HUMAN	44.96	129	67	4	510	893	181	306	4e-17	84.0
871204258	XM_005088779.2	tr	J3KTH4	J3KTH4_HUMAN	36.36	66	40	2	504	698	57	121	2e-05	47.4
871204263	XM_005088782.2	sp	Q6P1J9	CDC73_HUMAN	61.13	548	181	11	43	1641	1	531	0.0	631
871204268	XM_013088327.1	sp	Q92535	PIGC_HUMAN	42.61	284	162	1	138	989	7	289	4e-70	225
871204265	XM_013088000.1	sp	Q92535	PIGC_HUMAN	42.61	284	162	1	136	987	7	289	4e-70	225
871204271	XM_013088810.1	sp	Q49AG3	ZBED5_HUMAN	30.86	81	54	1	459	701	273	351	4e-04	44.3
524864004	XM_005088784.1	sp	Q01658	NC2B_HUMAN	75.61	123	30	0	98	466	8	130	8e-52	176
524864007	XM_005088785.1	sp	Q01658	NC2B_HUMAN	75.61	123	30	0	93	461	8	130	5e-52	177
871204277	XM_013090293.1	tr	X6RKW4	X6RKW4_HUMAN	46.83	378	173	6	122	1171	26	403	2e-82	283
871204285	XM_005088786.2	sp	Q6DKK2	TTC19_HUMAN	31.18	279	166	5	332	1165	96	349	2e-29	122
871204282	XM_005088787.2	sp	Q0P6D6	CCD15_HUMAN	52.78	72	34	0	1265	1480	855	926	2e-19	95.5
871204282	XM_005088787.2	sp	Q0P6D6	CCD15_HUMAN	34.68	124	76	3	80	439	19	141	3e-05	48.9
871204287	XM_005088788.2	sp	Q9BTM9	URM1_HUMAN	64.00	100	36	0	142	441	2	101	2e-39	139
871204290	XM_005088789.2	sp	Q5VTL8	PR38B_HUMAN	80.31	193	38	0	233	811	45	237	9e-65	233
871204292	XM_013091408.1	tr	X6RGP5	X6RGP5_HUMAN	48.48	460	222	5	4331	5692	163	613	3e-134	454
871204298	XM_013091473.1	tr	X6RGP5	X6RGP5_HUMAN	48.48	460	222	5	4331	5692	163	613	3e-134	454
871204295	XM_013091442.1	tr	X6RGP5	X6RGP5_HUMAN	48.48	460	222	5	4331	5692	163	613	3e-134	454
871204303	XM_013091509.1	tr	X6RGP5	X6RGP5_HUMAN	48.48	460	222	5	4331	5692	163	613	4e-134	454
871204321	XM_005088794.2	sp	Q9NRR6	INP5E_HUMAN	43.18	447	232	7	1587	2900	200	633	2e-111	375
871204322	XM_005088795.2	sp	Q9NRR6	INP5E_HUMAN	43.55	434	228	6	1587	2861	200	625	3e-113	374
871204709	XM_013085605.1	sp	Q9WJR5	POK19_HUMAN	30.17	116	74	2	523	849	646	761	1e-06	52.4
871204324	XM_005088796.2	tr	H3BQH6	H3BQH6_HUMAN	41.28	109	61	2	361	684	7	113	4e-20	91.7
871204327	XM_005088797.2	sp	Q9H7Z7	PGES2_HUMAN	46.74	291	140	8	330	1190	98	377	3e-80	263
871204712	XM_005088798.2	sp	Q5TZF3	ANR45_HUMAN	35.86	198	122	2	235	816	47	243	9e-35	131
871204329	XM_005088802.2	sp	Q9Y2M5	KLH20_HUMAN	83.16	570	96	0	338	2047	40	609	0.0	1003
871204337	XM_005088805.2	sp	P53816	PA216_HUMAN	38.89	126	70	2	315	689	11	130	3e-20	90.5
871204335	XM_005088804.2	sp	P53816	PA216_HUMAN	38.89	126	70	2	204	578	11	130	2e-20	90.5
871204339	XM_005088807.2	sp	Q86Y79	PTH_HUMAN	42.13	216	106	7	6	641	6	206	7e-38	134
871204369	XM_005088910.2	sp	Q5JU67	CF157_HUMAN	37.40	484	260	10	385	1788	36	492	2e-75	262
871204346	XM_005088810.2	sp	Q7Z6M1	RABEK_HUMAN	35.01	417	220	5	820	2067	5	371	6e-75	250
871204344	XM_005088809.2	sp	Q7Z6M1	RABEK_HUMAN	35.01	417	220	5	802	2049	5	371	5e-75	250
871204342	XM_005088808.2	sp	Q7Z6M1	RABEK_HUMAN	35.01	417	220	5	784	2031	5	371	5e-75	250
871204354	XM_005088811.2	sp	Q7Z6M1	RABEK_HUMAN	35.01	417	220	5	477	1724	5	371	6e-76	250
871204715	XM_013085701.1	sp	Q96DM1	PGBD4_HUMAN	24.80	383	219	10	154	1107	116	494	2e-27	115
871204371	XM_005088812.2	sp	Q86UD0	SAPC2_HUMAN	33.33	195	121	4	1275	1832	200	394	6e-21	97.1
871204371	XM_005088812.2	sp	Q86UD0	SAPC2_HUMAN	57.89	76	32	0	219	446	20	95	2e-20	95.9
871204373	XM_005088912.2	sp	Q8TDX7	NEK7_HUMAN	82.64	242	42	0	417	1142	31	272	2e-144	424
871204375	XM_013079980.1	tr	A0A087WXK5	A0A087WXK5_HUMAN	55.49	975	389	9	5748	8561	1441	2407	0.0	1045
871204375	XM_013079980.1	tr	A0A087WXK5	A0A087WXK5_HUMAN	53.89	950	379	10	2559	5390	467	1363	0.0	1033
871204375	XM_013079980.1	tr	A0A087WXK5	A0A087WXK5_HUMAN	34.37	387	218	8	7488	8552	983	1365	2e-54	213
871204375	XM_013079980.1	tr	A0A087WXK5	A0A087WXK5_HUMAN	42.55	235	131	2	4242	4934	2081	2315	5e-46	186
